1 1:2138190850 2:0.34597 3:411247.9346
1 1:2138975343 2:0.29259 3:411174.7638
1 1:2138414754 2:0.34597 3:411007.0615
1 1:2138443513 2:0.29259 3:411151.228
1 1:2138190850 2:0.29259 3:410860.2327
1 1:2139184147 2:0.34597 3:410951.2584
1 1:2138975343 2:0.34597 3:411316.6086
1 1:2138414754 2:0.31219 3:410728.364
1 1:2139002634 2:0.31219 3:410710.9344
1 1:2138975343 2:0.34597 3:410850.8658
1 1:2138534743 2:0.29259 3:411441.0608
1 1:2138190850 2:0.29259 3:411181.3103
1 1:2138190850 2:0.34597 3:410678.9398
1 1:2138531505 2:0.34597 3:410882.6504
1 1:2138443513 2:0.31218 3:411215.0823
1 1:2138443513 2:0.34597 3:411073.8934
1 1:2138975343 2:0.34597 3:411130.317
1 1:2138414754 2:0.29259 3:411601.2564
1 1:2138975343 2:0.34597 3:411043.5165
1 1:2138975343 2:0.29259 3:411302.875
1 1:2138531505 2:0.34597 3:411147.4124
1 1:2138975343 2:0.34597 3:410489.7861
1 1:2138531505 2:0.31219 3:410718.4175
1 1:2138534743 2:0.34597 3:411009.6197
1 1:2139002634 2:0.29259 3:411489.7963
1 1:2138531505 2:0.31219 3:410552.543
1 1:2139002634 2:0.31219 3:410792.3621
1 1:2138443513 2:0.29259 3:410760.6768
1 1:2138443513 2:0.31219 3:410557.3263
1 1:2138443513 2:0.31219 3:410696.7276
1 1:2139002634 2:0.29259 3:411328.1223
1 1:2139184147 2:0.34597 3:410819.6059
1 1:2138531505 2:0.34597 3:410972.5708
1 1:2138531505 2:0.29259 3:410528.2737
1 1:2138190850 2:0.29259 3:411363.8536
1 1:2138190850 2:0.29259 3:411597.9539
1 1:2139741279 2:0.34597 3:410824.9918
1 1:2138414754 2:0.31219 3:410753.6463
1 1:2139184147 2:0.31218 3:411189.4754
1 1:2138443513 2:0.29259 3:410797.2723
1 1:2138534743 2:0.29259 3:411106.2475
1 1:2138443513 2:0.29259 3:410263.3531
1 1:2139741279 2:0.31218 3:410797.6474
1 1:2138975343 2:0.29259 3:411196.4251
1 1:2139741279 2:0.29259 3:411300.5222
1 1:2138414754 2:0.34597 3:411102.8764
1 1:2138534743 2:0.31219 3:411093.8486
1 1:2139002634 2:0.29258 3:410666.6357
1 1:2138414754 2:0.34597 3:411123.8296
1 1:2138190850 2:0.31219 3:410674.1438
1 1:2139184147 2:0.29259 3:411018.6768
1 1:2138975343 2:0.31218 3:411349.0135
1 1:2139002634 2:0.31219 3:411106.2811
1 1:2138975343 2:0.34597 3:411056.6688
1 1:2138443513 2:0.34597 3:411082.409
1 1:2139002634 2:0.29259 3:411140.1674
1 1:2138190850 2:0.29259 3:411318.9879
1 1:2139002634 2:0.29259 3:411332.5947
1 1:2139184147 2:0.29259 3:410852.844
1 1:2139741279 2:0.31218 3:410550.6982
1 1:2138975343 2:0.34597 3:411307.0125
1 1:2139184147 2:0.31218 3:410567.28
